time	V(n001)	V(n002)	V(n003)
4.463857686021856e-05	-1.655782e-02	-1.300390e+00	1.125710e-01
4.473623311021856e-05	-4.316476e-02	-1.294876e+00	8.248600e-02
4.483016461712111e-05	-6.772909e-02	-1.274751e+00	5.325416e-02
4.492782086712111e-05	-9.237062e-02	-1.241360e+00	2.266797e-02
4.502547711712112e-05	-1.163387e-01	-1.199220e+00	-8.003531e-03
4.522078961712112e-05	-1.629002e-01	-1.101045e+00	-6.914084e-02
4.541610211712113e-05	-2.079525e-01	-9.962946e-01	-1.292382e-01
4.561141461712113e-05	-2.511191e-01	-8.901542e-01	-1.873917e-01
4.580672711712114e-05	-2.917033e-01	-7.837549e-01	-2.427267e-01
4.600203961712115e-05	-3.289674e-01	-6.773049e-01	-2.944108e-01
4.619735211712115e-05	-3.622083e-01	-5.708406e-01	-3.416667e-01
4.629500836712115e-05	-3.771159e-01	-5.176052e-01	-3.634090e-01
4.639266461712116e-05	-3.907810e-01	-4.643681e-01	-3.837836e-01
4.649032086712116e-05	-4.031341e-01	-4.111290e-01	-4.027137e-01
4.658797711712116e-05	-4.141104e-01	-3.578880e-01	-4.201281e-01
4.668563336712116e-05	-4.236503e-01	-3.046449e-01	-4.359612e-01
4.678328961712117e-05	-4.316997e-01	-2.513998e-01	-4.501534e-01
4.688094586712117e-05	-4.382101e-01	-1.981525e-01	-4.626514e-01
4.707625836712118e-05	-4.464490e-01	-9.165120e-02	-4.823829e-01
4.727157086712118e-05	-4.480974e-01	1.485928e-02	-4.948589e-01
4.746688336712119e-05	-4.429848e-01	1.213792e-01	-4.998918e-01
4.766219586712119e-05	-4.310425e-01	2.279088e-01	-4.974058e-01
4.785750836712120e-05	-4.123044e-01	3.344478e-01	-4.874384e-01
4.805282086712120e-05	-3.869067e-01	4.409961e-01	-4.701394e-01
4.824813336712121e-05	-3.550857e-01	5.475531e-01	-4.457692e-01
4.844344586712122e-05	-3.171746e-01	6.541178e-01	-4.146941e-01
4.863875836712122e-05	-2.735982e-01	7.606854e-01	-3.773817e-01
4.883407086712123e-05	-2.248694e-01	8.672289e-01	-3.343931e-01
4.893172711712123e-05	-1.987585e-01	9.204487e-01	-3.109692e-01
4.902938336712123e-05	-1.715995e-01	9.735374e-01	-2.863749e-01
4.912703961712123e-05	-1.435050e-01	1.026245e+00	-2.607027e-01
4.922469586712124e-05	-1.146386e-01	1.077888e+00	-2.340494e-01
4.932235211712124e-05	-8.525878e-02	1.126879e+00	-2.065150e-01
4.942000836712124e-05	-5.574898e-02	1.170266e+00	-1.782035e-01
4.951766461712125e-05	-2.657951e-02	1.203909e+00	-1.492212e-01
4.961532086712125e-05	1.807202e-03	1.223674e+00	-1.196773e-01
4.971297711712125e-05	2.913093e-02	1.227169e+00	-8.968292e-02
4.980690820826676e-05	5.431345e-02	1.214780e+00	-6.051287e-02
4.990456445826676e-05	7.945935e-02	1.187646e+00	-2.996400e-02
5.000222070826677e-05	1.037807e-01	1.149744e+00	6.976558e-04
5.009987695826677e-05	1.274845e-01	1.104644e+00	3.135668e-02
5.029518945826678e-05	1.735681e-01	1.003955e+00	9.220573e-02
5.049050195826678e-05	2.179894e-01	8.985850e-01	1.516679e-01
5.068581445826679e-05	2.602550e-01	7.922486e-01	2.088489e-01
5.088112695826679e-05	2.996503e-01	6.857134e-01	2.628886e-01
5.107643945826680e-05	3.354492e-01	5.791200e-01	3.129741e-01
5.117409570826680e-05	3.517846e-01	5.258109e-01	3.362961e-01
5.127175195826680e-05	3.669699e-01	4.724950e-01	3.583523e-01
5.136940820826681e-05	3.809295e-01	4.191728e-01	3.790597e-01
